contrast,cge,estimate,SE,df,lower.CL,upper.CL
Ancestral - Cold,coldcge,-9.28904798931596,1.74144898867127,8.98620660768774,-13.2294012379819,-5.34869474065002
Ancestral - Hot,coldcge,-8.17617406742059,1.66801761926964,8.98620660768774,-11.9503751423175,-4.40197299252373
Cold - Hot,coldcge,1.11287392189537,1.37773782030015,8.99796801365907,-2.00389284822522,4.22964069201596
Ancestral - Cold,hotcge,-4.14447838625787,0.787166391709674,8.43976383574914,-5.94335482927903,-2.3456019432367
Ancestral - Hot,hotcge,-5.64853767288345,0.914863585179738,8.64816124254068,-7.73100896120977,-3.56606638455713
Cold - Hot,hotcge,-1.50405928662558,0.624908468017118,8.43976383574914,-2.93213489300265,-0.0759836802485174
