contrast,cge,Sex,estimate,SE,df,t.ratio,p.value,sig,group1,group2,xstart,xend,rank
Ancestral - Cold-evolved,coldcge,Female,-0.348960498648951,0.0707881384573428,72.5183516006727,-4.92964649521383,1.51509346815972e-05,****,Ancestral,Cold-evolved,1,2,1
Ancestral - Hot-evolved,coldcge,Female,-0.236120198836703,0.0707881384573428,72.5183516006727,-3.33558988811367,0.00268855096158937,**,Ancestral,Hot-evolved,1,3,2
Ancestral - Cold-evolved,hotcge,Female,-0.640263471810243,0.0890325543453903,85.3904464103924,-7.19134115063602,6.85196936369176e-10,****,Ancestral,Cold-evolved,1,2,1
Ancestral - Hot-evolved,hotcge,Female,-0.428190132269308,0.0905825384014426,87.2889674280024,-4.72707146240107,1.73422726169615e-05,****,Ancestral,Hot-evolved,1,3,2
Cold-evolved - Hot-evolved,hotcge,Female,0.212073339540934,0.0759105649805219,80.1052144522164,2.79372626979329,0.00651615311917257,**,Cold-evolved,Hot-evolved,2,3,3
Ancestral - Cold-evolved,coldcge,Male,-0.197073152669978,0.0707881384573428,72.518351600672,-2.78398552306521,0.0205308633381067,*,Ancestral,Cold-evolved,1,2,1
Ancestral - Cold-evolved,hotcge,Male,-0.511153132381775,0.0782750141711817,80.8982069336459,-6.53022088586174,1.61318530134523e-08,****,Ancestral,Cold-evolved,1,2,1
Ancestral - Hot-evolved,hotcge,Male,-0.284182693187164,0.0780718646048361,84.1363904149479,-3.64001416676246,0.000939309609232403,***,Ancestral,Hot-evolved,1,3,2
Cold-evolved - Hot-evolved,hotcge,Male,0.226970439194611,0.0821017138624647,86.9922912248022,2.76450305988529,0.00695893528092952,**,Cold-evolved,Hot-evolved,2,3,3
