Evo,cge,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,10.2492269858763,0.936548131479451,8.98620660768774,8.33483548595376,12.603326602552
Cold-evolved,coldcge,24.6448587496609,2.25347515995534,9.004419867131,20.0401305324736,30.3076400528699
Hot-evolved,coldcge,22.1858681663611,2.02815483692053,8.99796801365907,18.0410526706294,27.282928290347
Ancestral,hotcge,31.766384234006,1.34557038512817,9.46231237420877,28.8842481464251,34.936106426831
Cold-evolved,hotcge,46.9865552964263,1.87985411618304,8.43976383574914,42.8811449007512,51.4850147712695
Hot-evolved,hotcge,54.1589045814859,2.19300740164317,8.64816124254068,49.3901839199378,59.3880547240162
