contrast,cge,ratio,SE,df,null,t.ratio,p.value
Ancestral / Cold,coldcge,0.97735026650021,0.0113252761264341,21.1196763871189,1,-1.97710583037174,0.0612297531996959
Ancestral / Hot,coldcge,1.05832641638818,0.0122636063122136,21.1196763871189,1,4.89213869469996,7.61982985160437e-05
Cold / Hot,coldcge,1.08285274242359,0.0125478108847592,21.1196763871189,1,6.86924452507169,8.38674840308694e-07
Ancestral / Cold,hotcge,0.961128789114757,0.0111373059412652,21.1196763871187,1,-3.421450562741,0.00255003035867694
Ancestral / Hot,hotcge,1.04244407006016,0.0120795658879503,21.1196763871187,1,3.58724311203453,0.00172328157791514
Cold / Hot,hotcge,1.08460393847977,0.0125681032810142,21.1196763871188,1,7.00869367477552,6.21027379259675e-07
