contrast,cge,ratio,SE,df,null,t.ratio,p.value
Ancestral / Cold,coldcge,0.977355067519115,0.0104317979629986,23.1187600462307,1,-2.1459942476889,0.0425999519801461
Ancestral / Hot,coldcge,1.06293725236523,0.0113452592947261,23.1187600462307,1,5.71846879637947,1.17694844474561e-05
Cold / Hot,coldcge,1.08756509040604,0.0116081244900326,23.1187600462307,1,7.86446304406837,1.66205094485319e-07
Ancestral / Cold,hotcge,0.972755127569079,0.0103827005102964,23.1187600462304,1,-2.58798889745667,0.0164075406430547
Ancestral / Hot,hotcge,1.06386114545059,0.0113551204662963,23.1187600462304,1,5.79986771156923,9.6586949673306e-06
Cold / Hot,hotcge,1.09365771024943,0.0116731540595143,23.1187600462306,1,8.38785660902589,5.43415547593798e-08
