cge,Evo,EvoRep,TechRep,Sample,vial,final_n,threshold_05,T05,status
coldcge,Ancestral,A1,A,Anc.1.A,coldcge.Anc.1.A,43,2.15,21.3833333333333,interpolated
coldcge,Ancestral,A1,B,Anc.1.B,coldcge.Anc.1.B,42,2.1,20.05,interpolated
coldcge,Ancestral,A1,C,Anc.1.C,coldcge.Anc.1.C,63,3.15,21.3909090909091,interpolated
coldcge,Ancestral,A1,D,Anc.1.D,coldcge.Anc.1.D,52,2.6,21.325,interpolated
coldcge,Ancestral,A1,E,Anc.1.E,coldcge.Anc.1.E,36,1.8,21.5142857142857,interpolated
coldcge,Ancestral,A2,A,Anc.2.A,coldcge.Anc.2.A,57,2.85,19.925,interpolated
coldcge,Ancestral,A2,B,Anc.2.B,coldcge.Anc.2.B,55,2.75,20.375,interpolated
coldcge,Ancestral,A2,C,Anc.2.C,coldcge.Anc.2.C,54,2.7,22.08,interpolated
coldcge,Ancestral,A2,D,Anc.2.D,coldcge.Anc.2.D,39,1.95,19.78,interpolated
coldcge,Ancestral,A2,E,Anc.2.E,coldcge.Anc.2.E,39,1.95,19.78,interpolated
coldcge,Ancestral,A3,A,Anc.3.A,coldcge.Anc.3.A,44,2.2,19.88,interpolated
coldcge,Ancestral,A3,B,Anc.3.B,coldcge.Anc.3.B,40,2,21,interpolated
coldcge,Ancestral,A3,C,Anc.3.C,coldcge.Anc.3.C,57,2.85,21.57,interpolated
coldcge,Ancestral,A3,D,Anc.3.D,coldcge.Anc.3.D,65,3.25,21.4642857142857,interpolated
coldcge,Ancestral,A3,E,Anc.3.E,coldcge.Anc.3.E,32,1.6,20.0666666666667,interpolated
coldcge,Ancestral,A4,A,Anc.4.A,coldcge.Anc.4.A,45,2.25,21.8333333333333,interpolated
coldcge,Ancestral,A4,B,Anc.4.B,coldcge.Anc.4.B,41,2.05,19.82,interpolated
coldcge,Ancestral,A4,C,Anc.4.C,coldcge.Anc.4.C,55,2.75,21.21875,interpolated
coldcge,Ancestral,A4,D,Anc.4.D,coldcge.Anc.4.D,46,2.3,20.15,interpolated
coldcge,Ancestral,A4,E,Anc.4.E,coldcge.Anc.4.E,42,2.1,21.0166666666667,interpolated
coldcge,Cold,C1,A,Cold.1.A,coldcge.Cold.1.A,55,2.75,21.2142857142857,interpolated
coldcge,Cold,C1,B,Cold.1.B,coldcge.Cold.1.B,62,3.1,21.42,interpolated
coldcge,Cold,C1,C,Cold.1.C,coldcge.Cold.1.C,61,3.05,21.2333333333333,interpolated
coldcge,Cold,C1,D,Cold.1.D,coldcge.Cold.1.D,61,3.05,20.22,interpolated
coldcge,Cold,C1,E,Cold.1.E,coldcge.Cold.1.E,53,2.65,21.7571428571429,interpolated
coldcge,Cold,C2,A,Cold.2.A,coldcge.Cold.2.A,53,2.65,22.06,interpolated
coldcge,Cold,C2,B,Cold.2.B,coldcge.Cold.2.B,79,3.95,21.1055555555556,interpolated
coldcge,Cold,C2,C,Cold.2.C,coldcge.Cold.2.C,62,3.1,21.35,interpolated
coldcge,Cold,C2,D,Cold.2.D,coldcge.Cold.2.D,69,3.45,21.7666666666667,interpolated
coldcge,Cold,C2,E,Cold.2.E,coldcge.Cold.2.E,62,3.1,21.4666666666667,interpolated
coldcge,Cold,C3,A,Cold.3.A,coldcge.Cold.3.A,63,3.15,21.6142857142857,interpolated
coldcge,Cold,C3,B,Cold.3.B,coldcge.Cold.3.B,75,3.75,21.625,interpolated
coldcge,Cold,C3,C,Cold.3.C,coldcge.Cold.3.C,52,2.6,21.1714285714286,interpolated
coldcge,Cold,C3,D,Cold.3.D,coldcge.Cold.3.D,58,2.9,21.15,interpolated
coldcge,Cold,C3,E,Cold.3.E,coldcge.Cold.3.E,56,2.8,21.5090909090909,interpolated
coldcge,Cold,C4,A,Cold.4.A,coldcge.Cold.4.A,52,2.6,19.7428571428571,interpolated
coldcge,Cold,C4,B,Cold.4.B,coldcge.Cold.4.B,57,2.85,20.425,interpolated
coldcge,Cold,C4,C,Cold.4.C,coldcge.Cold.4.C,51,2.55,21.0733333333333,interpolated
coldcge,Cold,C4,D,Cold.4.D,coldcge.Cold.4.D,47,2.35,21.2333333333333,interpolated
coldcge,Cold,C4,E,Cold.4.E,coldcge.Cold.4.E,39,1.95,21.975,interpolated
coldcge,Hot,H1,A,Hot.1.A,coldcge.Hot.1.A,51,2.55,19.425,interpolated
coldcge,Hot,H1,B,Hot.1.B,coldcge.Hot.1.B,91,4.55,19.6066666666667,interpolated
coldcge,Hot,H1,C,Hot.1.C,coldcge.Hot.1.C,63,3.15,19.3705882352941,interpolated
coldcge,Hot,H1,D,Hot.1.D,coldcge.Hot.1.D,61,3.05,19.4066666666667,interpolated
coldcge,Hot,H1,E,Hot.1.E,coldcge.Hot.1.E,50,2.5,19.5,interpolated
coldcge,Hot,H2,A,Hot.2.A,coldcge.Hot.2.A,84,4.2,19.84,interpolated
coldcge,Hot,H2,B,Hot.2.B,coldcge.Hot.2.B,79,3.95,19.7181818181818,interpolated
coldcge,Hot,H2,C,Hot.2.C,coldcge.Hot.2.C,87,4.35,19.6692307692308,interpolated
coldcge,Hot,H2,D,Hot.2.D,coldcge.Hot.2.D,89,4.45,20.1125,interpolated
coldcge,Hot,H2,E,Hot.2.E,coldcge.Hot.2.E,87,4.35,19.7909090909091,interpolated
coldcge,Hot,H3,A,Hot.3.A,coldcge.Hot.3.A,78,3.9,19.52,interpolated
coldcge,Hot,H3,B,Hot.3.B,coldcge.Hot.3.B,70,3.5,19.5,interpolated
coldcge,Hot,H3,C,Hot.3.C,coldcge.Hot.3.C,89,4.45,20.15,interpolated
coldcge,Hot,H3,D,Hot.3.D,coldcge.Hot.3.D,71,3.55,19.5461538461538,interpolated
coldcge,Hot,H3,E,Hot.3.E,coldcge.Hot.3.E,66,3.3,19.66,interpolated
coldcge,Hot,H4,A,Hot.4.A,coldcge.Hot.4.A,86,4.3,19.4526315789474,interpolated
coldcge,Hot,H4,B,Hot.4.B,coldcge.Hot.4.B,73,3.65,19.9125,interpolated
coldcge,Hot,H4,C,Hot.4.C,coldcge.Hot.4.C,74,3.7,19.4933333333333,interpolated
coldcge,Hot,H4,D,Hot.4.D,coldcge.Hot.4.D,63,3.15,19.4846153846154,interpolated
coldcge,Hot,H4,E,Hot.4.E,coldcge.Hot.4.E,60,3,19.3157894736842,interpolated
