Evo,cge,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,24.1192205424435,0.409546066932278,27.3452805344177,23.293850556203,24.9738358272465
Cold-evolved,coldcge,24.9492869303997,0.43029261790745,28.4512504717138,24.0838676707345,25.8458037905517
Hot-evolved,coldcge,21.7428032747056,0.477136365945602,45.9537372732149,20.8032557296164,22.7247840620218
Ancestral,hotcge,11.5024392227343,0.239576944294247,42.1504582463402,11.0290227690897,11.9961768909846
Cold-evolved,hotcge,11.8292697663711,0.245405397532631,41.9898544253637,11.3442421598064,12.3350349220657
Hot-evolved,hotcge,10.3778583135538,0.163684758252885,22.4494045611265,10.0442696869932,10.722526030505
