Evo,cge,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,20.7669215904796,0.170159299538956,21.1196763871189,20.4161738107956,21.1236951811747
Cold-evolved,coldcge,21.2481873718046,0.174102678815732,21.1196763871189,20.8893111411366,21.613229059441
Hot-evolved,coldcge,19.6224163631408,0.160781491328233,21.1196763871189,19.2909989721992,19.9595274709904
Ancestral,hotcge,9.570008693573,0.0784144134596546,21.1196763871185,9.40837379327242,9.73442046494283
Cold-evolved,hotcge,9.95705133584377,0.0815857503674175,21.1196763871189,9.78887938830544,10.1281124602549
Hot-evolved,hotcge,9.18035697878807,0.0752216984217961,21.1196763871189,9.02530319226573,9.33807457351749
