cge,Evo,EvoRep,TechRep,Sample,vial,final_n,threshold_10,T10,status
coldcge,Ancestral,A1,A,Anc.1.A,coldcge.Anc.1.A,43,4.3,22.1,interpolated
coldcge,Ancestral,A1,B,Anc.1.B,coldcge.Anc.1.B,42,4.2,21.0363636363636,interpolated
coldcge,Ancestral,A1,C,Anc.1.C,coldcge.Anc.1.C,63,6.3,21.9636363636364,interpolated
coldcge,Ancestral,A1,D,Anc.1.D,coldcge.Anc.1.D,52,5.2,21.65,interpolated
coldcge,Ancestral,A1,E,Anc.1.E,coldcge.Anc.1.E,36,3.6,22.0285714285714,interpolated
coldcge,Ancestral,A2,A,Anc.2.A,coldcge.Anc.2.A,57,5.7,21.0608695652174,interpolated
coldcge,Ancestral,A2,B,Anc.2.B,coldcge.Anc.2.B,55,5.5,21.1875,interpolated
coldcge,Ancestral,A2,C,Anc.2.C,coldcge.Anc.2.C,54,5.4,23.05,interpolated
coldcge,Ancestral,A2,D,Anc.2.D,coldcge.Anc.2.D,39,3.9,20.56,interpolated
coldcge,Ancestral,A2,E,Anc.2.E,coldcge.Anc.2.E,39,3.9,20.56,interpolated
coldcge,Ancestral,A3,A,Anc.3.A,coldcge.Anc.3.A,44,4.4,20.76,interpolated
coldcge,Ancestral,A3,B,Anc.3.B,coldcge.Anc.3.B,40,4,21.3076923076923,interpolated
coldcge,Ancestral,A3,C,Anc.3.C,coldcge.Anc.3.C,57,5.7,22.14,interpolated
coldcge,Ancestral,A3,D,Anc.3.D,coldcge.Anc.3.D,65,6.5,21.9285714285714,interpolated
coldcge,Ancestral,A3,E,Anc.3.E,coldcge.Anc.3.E,32,3.2,21.1,interpolated
coldcge,Ancestral,A4,A,Anc.4.A,coldcge.Anc.4.A,45,4.5,23.3333333333333,interpolated
coldcge,Ancestral,A4,B,Anc.4.B,coldcge.Anc.4.B,41,4.1,20.64,interpolated
coldcge,Ancestral,A4,C,Anc.4.C,coldcge.Anc.4.C,55,5.5,21.5625,interpolated
coldcge,Ancestral,A4,D,Anc.4.D,coldcge.Anc.4.D,46,4.6,21.0857142857143,interpolated
coldcge,Ancestral,A4,E,Anc.4.E,coldcge.Anc.4.E,42,4.2,21.3666666666667,interpolated
coldcge,Cold,C1,A,Cold.1.A,coldcge.Cold.1.A,55,5.5,22,interpolated
coldcge,Cold,C1,B,Cold.1.B,coldcge.Cold.1.B,62,6.2,22.04,interpolated
coldcge,Cold,C1,C,Cold.1.C,coldcge.Cold.1.C,61,6.1,21.9111111111111,interpolated
coldcge,Cold,C1,D,Cold.1.D,coldcge.Cold.1.D,61,6.1,21.1692307692308,interpolated
coldcge,Cold,C1,E,Cold.1.E,coldcge.Cold.1.E,53,5.3,22.5142857142857,interpolated
coldcge,Cold,C2,A,Cold.2.A,coldcge.Cold.2.A,53,5.3,23.3,interpolated
coldcge,Cold,C2,B,Cold.2.B,coldcge.Cold.2.B,79,7.9,21.5444444444444,interpolated
coldcge,Cold,C2,C,Cold.2.C,coldcge.Cold.2.C,62,6.2,21.8666666666667,interpolated
coldcge,Cold,C2,D,Cold.2.D,coldcge.Cold.2.D,69,6.9,22.5333333333333,interpolated
coldcge,Cold,C2,E,Cold.2.E,coldcge.Cold.2.E,62,6.2,22.1555555555556,interpolated
coldcge,Cold,C3,A,Cold.3.A,coldcge.Cold.3.A,63,6.3,22.5142857142857,interpolated
coldcge,Cold,C3,B,Cold.3.B,coldcge.Cold.3.B,75,7.5,22.25,interpolated
coldcge,Cold,C3,C,Cold.3.C,coldcge.Cold.3.C,52,5.2,21.9142857142857,interpolated
coldcge,Cold,C3,D,Cold.3.D,coldcge.Cold.3.D,58,5.8,21.6333333333333,interpolated
coldcge,Cold,C3,E,Cold.3.E,coldcge.Cold.3.E,56,5.6,22.0181818181818,interpolated
coldcge,Cold,C4,A,Cold.4.A,coldcge.Cold.4.A,52,5.2,20.4857142857143,interpolated
coldcge,Cold,C4,B,Cold.4.B,coldcge.Cold.4.B,57,5.7,21.3090909090909,interpolated
coldcge,Cold,C4,C,Cold.4.C,coldcge.Cold.4.C,51,5.1,21.4133333333333,interpolated
coldcge,Cold,C4,D,Cold.4.D,coldcge.Cold.4.D,47,4.7,22.8,interpolated
coldcge,Cold,C4,E,Cold.4.E,coldcge.Cold.4.E,39,3.9,22.95,interpolated
coldcge,Hot,H1,A,Hot.1.A,coldcge.Hot.1.A,51,5.1,19.85,interpolated
coldcge,Hot,H1,B,Hot.1.B,coldcge.Hot.1.B,91,9.1,20.2133333333333,interpolated
coldcge,Hot,H1,C,Hot.1.C,coldcge.Hot.1.C,63,6.3,19.7411764705882,interpolated
