Evo,cge,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,21.5083191625286,0.162329807163896,23.1187600462307,21.1752161541792,21.8466621463929
Cold-evolved,coldcge,22.0066584574269,0.166090924944963,23.1187600462307,21.665837583397,22.3528407151433
Hot-evolved,coldcge,20.2347966586632,0.152718146628771,23.1187600462306,19.9214169106036,20.5531061196511
Ancestral,hotcge,9.97145058088647,0.0752575613978996,23.1187600462301,9.8170210245366,10.1283094371039
Cold-evolved,hotcge,10.2507304236012,0.0773653710630844,23.1187600462306,10.09197561268,10.4119825740879
Hot-evolved,hotcge,9.37288726402652,0.0707400225299377,23.1187600462306,9.22772775988421,9.52033024273495
