Evo,cge,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,0.749894155915559,0.023509561956245,Inf,0.7010637371648,0.793102227955247
Cold-evolved,coldcge,0.940781003416022,0.0091106855781921,Inf,0.92019152424471,0.956310877887171
Hot-evolved,coldcge,0.924907810572438,0.0099655895288266,Inf,0.902889437826055,0.942253144567876
Ancestral,hotcge,0.762447859597978,0.0278611178074725,Inf,0.703632044704779,0.812698442071046
Cold-evolved,hotcge,0.892062311487617,0.0172951912053339,Inf,0.853201047143781,0.921581585956697
Hot-evolved,hotcge,0.92304983360672,0.0120177970867029,Inf,0.895940120801865,0.943541969970914
