contrast,cge,Sex,estimate,SE,df,t.ratio,p.value,sig,group1,group2,xstart,xend,rank
Ancestral - Cold-evolved,coldcge,Female,-0.0247297482211306,0.00960323265941767,17.4987949424684,-2.5751482962228,0.0483920819299939,*,Ancestral,Cold-evolved,1,2,1
Cold-evolved - Hot-evolved,coldcge,Female,0.0269766009852218,0.00960323265941767,17.4987949424684,2.80911667372408,0.0302517528184797,*,Cold-evolved,Hot-evolved,2,3,3
