contrast,cge,estimate,SE,df,asymp.LCL,asymp.UCL
(Ancestral - Cold),coldcge,-1.66742013981027,0.234362309774407,Inf,-2.12676182630173,-1.20807845331882
(Ancestral - Hot),coldcge,-1.41292965071047,0.212741730002239,Inf,-1.82989577952361,-0.995963521897342
(Cold - Hot),coldcge,0.2544904890998,0.217543826353012,Inf,-0.171887575611139,0.680868553810738
(Ancestral - Cold),hotcge,-0.945834896292997,0.244063890382868,Inf,-1.42419133137015,-0.467478461215844
(Ancestral - Hot),hotcge,-1.31837821393963,0.245103825568391,Inf,-1.79877288452667,-0.837983543352599
(Cold - Hot),hotcge,-0.372543317646637,0.247701154021545,Inf,-0.858028658457872,0.1129420231646
