cge,run,chamber,cycle,Evo,EvoRep,Sex,TechRep,co2,o2,RER,FlyDead,FlyNum,NetWeight
hotcge,3,1,4,Hot,H2,Male,B,22.8726783029568,24.6502405620593,0.927888644549846,0,30,7.6
hotcge,3,1,5,Hot,H2,Male,B,21.2726543559912,23.162651134116,0.918403261907224,0,30,7.6
hotcge,3,1,6,Hot,H2,Male,B,20.3372327726712,22.874467992522,0.889080033656728,0,30,7.6
hotcge,3,1,7,Hot,H2,Male,B,18.237195686484,19.8348300317925,0.919453086174789,0,30,7.6
hotcge,3,1,8,Hot,H2,Male,B,17.7340198228002,20.372866316307,0.870472497461263,0,30,7.6
hotcge,3,1,9,Hot,H2,Male,B,19.9076362993278,23.7723165763515,0.837429378638334,0,30,7.6
hotcge,3,1,10,Hot,H2,Male,B,18.9016514847558,21.104906422932,0.895604609941212,0,30,7.6
hotcge,3,1,11,Hot,H2,Male,B,20.395668743775,23.3494085743125,0.873498302060335,0,30,7.6
hotcge,3,1,12,Hot,H2,Male,B,22.3732798808544,24.659903943927,0.907273602189528,0,30,7.6
hotcge,3,1,13,Hot,H2,Male,B,23.0684201846244,25.079909740182,0.919796778521301,0,30,7.6
hotcge,3,1,14,Hot,H2,Male,B,22.41485067312,22.755400682085,0.9850343215783,0,30,7.6
hotcge,3,3,2,Ancestral,A4,Female,C,38.219903357292,40.0263596409495,0.954868334271164,0,30,11.3
hotcge,3,3,3,Ancestral,A4,Female,C,39.8210955462,40.846811404815,0.974888716564689,0,30,11.3
hotcge,3,3,4,Ancestral,A4,Female,C,37.639996054224,39.6862914469388,0.948438230983344,0,30,11.3
hotcge,3,3,5,Ancestral,A4,Female,C,37.45550566467,38.600713888485,0.970331941861919,0,30,11.3
hotcge,3,3,6,Ancestral,A4,Female,C,36.083498847273,37.6199732175338,0.959158015308085,0,30,11.3
hotcge,3,3,7,Ancestral,A4,Female,C,37.695898172718,38.4712968625688,0.979844747822754,0,30,11.3
hotcge,3,3,8,Ancestral,A4,Female,C,36.320527764318,35.903206614843,1.01162350633334,0,30,11.3
hotcge,3,3,9,Ancestral,A4,Female,C,37.471956730668,39.074867082507,0.958978482295169,0,30,11.3
hotcge,3,3,10,Ancestral,A4,Female,C,38.15523448191,40.0348145699775,0.95305136021594,0,30,11.3
hotcge,3,3,11,Ancestral,A4,Female,C,38.018807758296,40.916809060605,0.929173330744913,0,30,11.3
hotcge,3,3,12,Ancestral,A4,Female,C,38.666693610357,38.8986001934618,0.99403817664514,0,30,11.3
hotcge,3,3,13,Ancestral,A4,Female,C,39.32412701553,41.418514084038,0.949433553693923,0,30,11.3
hotcge,3,3,14,Ancestral,A4,Female,C,40.285779985995,42.2508246180195,0.953490975624972,0,30,11.3
hotcge,3,4,2,Hot,H3,Male,B,37.494466386903,39.5548862261377,0.947909852971003,0,30,7.3
hotcge,3,4,3,Hot,H3,Male,B,27.016303357491,27.5562151125293,0.980406897215984,0,30,7.3
hotcge,3,4,4,Hot,H3,Male,B,21.026110867761,24.5357592073763,0.856957825924533,0,30,7.3
hotcge,3,4,5,Hot,H3,Male,B,18.629844156342,21.2455386179235,0.876882647758584,0,30,7.3
hotcge,3,4,6,Hot,H3,Male,B,16.658666496576,18.78850444068,0.886641432753286,0,30,7.3
hotcge,3,4,7,Hot,H3,Male,B,16.02205084104,18.4537741345163,0.868226235145692,0,30,7.3
hotcge,3,4,8,Hot,H3,Male,B,15.8718814813035,18.7349084195558,0.847182229336986,0,30,7.3
hotcge,3,4,9,Hot,H3,Male,B,17.2478050034682,19.3012158164857,0.89361235931761,0,30,7.3
hotcge,3,4,10,Hot,H3,Male,B,20.581210108494,25.82931459951,0.796815959990066,0,30,7.3
hotcge,3,4,11,Hot,H3,Male,B,24.879753202644,27.846887222358,0.893448269602941,0,30,7.3
hotcge,3,4,12,Hot,H3,Male,B,25.833684509034,29.177274424092,0.885404309310771,0,30,7.3
hotcge,3,4,13,Hot,H3,Male,B,21.8261665709148,25.025232086097,0.872166399729037,0,30,7.3
hotcge,3,4,14,Hot,H3,Male,B,22.8242721790875,25.4092603868438,0.898265901155679,0,30,7.3
hotcge,3,5,2,Ancestral,A4,Male,C,19.1232653488434,20.102960012904,0.951266148694932,0,29,6.6
hotcge,3,5,3,Ancestral,A4,Male,C,19.6582518835056,19.3264993116135,1.01716568357999,0,29,6.6
hotcge,3,5,4,Ancestral,A4,Male,C,21.0400423408368,21.451126345848,0.980836250815764,0,29,6.6
hotcge,3,5,5,Ancestral,A4,Male,C,20.3436134866923,21.1313017768545,0.96272410008242,0,29,6.6
hotcge,3,5,6,Ancestral,A4,Male,C,18.2126591429382,17.0234288617065,1.06985844572751,0,29,6.6
hotcge,3,5,7,Ancestral,A4,Male,C,15.984162761703,16.486654824651,0.969521284439299,0,29,6.6
hotcge,3,5,8,Ancestral,A4,Male,C,13.958498895957,16.18922480637,0.862209220200879,0,29,6.6
